Most recent sessions as of 2020-05-18 04:32:12.693716
User,In,Out,Net,Chips in play,Contact
rsandz,3000.0,0.0,-3000.0,,None provided
All-in-Fili,3000.0,2889.0,-111.0,,None provided
rupumped,1000.0,7346.0,6346.0,,None provided
ironpiggy,2000.0,4824.0,2824.0,,None provided
Shikari,5000.0,517.0,-4483.0,,
bobman1234,2000.0,5424.0,3424.0,,None provided
Gab,2000.0,0.0,-2000.0,,None provided
MmmQuarks,3996.0,996.0,-3000.0,,None provided

Hands played: 0
Hands played last session: 86
